Provider ID,Hospital name,City,State,Payment,Lower estimate,Higher estimate,Payment category,Value of care display name,Value of care category
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,"$22,697","$20,225","$25,559",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,"$16,867","$15,697","$18,165",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,"$15,973","$15,206","$16,718",Less Than the National Average Payment,Value of Care Pneumonia measure,Worse Mortality and Lower Payment
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,"$22,051","$21,041","$23,103",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,"$24,148","$21,684","$26,886",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,"$16,266","$14,725","$18,026",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
10012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,"$17,565","$16,359","$18,777",No Different Than the National Average Payment,Value of Care Pneumonia measure,Worse Mortality and Average Payment
10131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,"$22,173","$20,420","$24,164",Less Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Lower Payment
10131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,"$16,136","$15,015","$17,322",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
10131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,"$16,071","$15,235","$16,893",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
10131,CRESTWOOD MEDICAL CENTER,HUNTSVILLE,AL,"$20,409","$19,912","$20,906",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,"$14,362","$12,310","$16,771",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,BETHEL,AK,"$11,192","$10,033","$12,369",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
21308,NORTON SOUND REGIONAL HOSPITAL,NOME,AK,"$18,785","$15,923","$21,541",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
21309,KANAKANAK HOSPITAL,DILLINGHAM,AK,"$18,135","$14,869","$21,341",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
30071,FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,"$14,002","$12,111","$16,138",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
30071,FORT DEFIANCE INDIAN HOSPITAL,FORT DEFIANCE,AZ,"$11,186","$10,131","$12,232",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,"$14,299","$12,281","$16,589",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,"$13,043","$11,725","$14,294",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,TUBA CITY,AZ,"$18,645","$17,562","$19,860",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
30077,SAN CARLOS APACHE HEALTHCARE,PERIDOT,AZ,"$12,999","$10,503","$15,485",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,CHINLE,AZ,"$12,462","$11,059","$13,901",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
31309,SAGE MEMORIAL HOSPITAL,GANADO,AZ,"$13,269","$11,241","$15,251",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
40007,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,"$27,179","$25,114","$29,492",Greater Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Higher Payment
40007,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,"$18,873","$17,888","$19,911",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
40007,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,"$20,022","$19,004","$21,032",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
40007,CHI-ST VINCENT INFIRMARY,LITTLE ROCK,AR,"$16,990","$16,510","$17,533",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
40018,SPARKS MEDICAL CENTER - VAN BUREN,VAN BUREN,AR,"$17,797","$14,991","$20,553",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
40050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,"$16,986","$14,899","$19,230",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
40050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,"$16,051","$14,750","$17,357",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
40050,OUACHITA COUNTY MEDICAL CENTER,CAMDEN,AR,"$22,458","$20,934","$24,129",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,"$26,692","$25,015","$28,445",Greater Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Higher Payment
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,"$18,528","$17,723","$19,412",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,"$19,032","$18,378","$19,697",Greater Than the National Average Payment,Value of Care Pneumonia measure,Worse Mortality and Higher Payment
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,LITTLE ROCK,AR,"$17,625","$17,154","$18,099",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,AR,"$23,041","$20,388","$26,033",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,AR,"$18,911","$16,687","$21,365",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,AR,"$17,834","$15,959","$19,797",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,CONWAY,AR,"$17,374","$15,655","$19,391",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
41328,CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,"$22,003","$19,143","$25,266",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
41328,CHICOT MEMORIAL MEDICAL CENTER,LAKE VILLAGE,AR,"$19,740","$17,220","$22,298",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
50054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,"$17,238","$15,471","$19,345",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
50054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,"$21,419","$19,408","$23,414",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
50054,SAN GORGONIO MEMORIAL HOSPITAL,BANNING,CA,"$18,225","$16,412","$20,179",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
50103,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,CA,"$26,954","$23,861","$30,739",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
