Major City,State,Zipcode,Population,Population Density,Median Home Value,median Household Income
Agawam,MA,01001,16769.0,1466.0,213000.0,58733.0
Amherst,MA,01002,29049.0,528.0,338900.0,54422.0
Barre,MA,01005,5079.0,115.0,208500.0,68644.0
Belchertown,MA,01007,14649.0,278.0,260000.0,71875.0
Blandford,MA,01008,1263.0,23.0,247200.0,71635.0
Bondsville,MA,01009,741.0,929.0,172600.0,38644.0
Brimfield,MA,01010,3609.0,104.0,264800.0,81196.0
Chester,MA,01011,1370.0,43.0,191000.0,64891.0
Chesterfield,MA,01012,661.0,50.0,242600.0,58750.0
Chicopee,MA,01013,23188.0,4123.0,179800.0,41273.0
Chicopee,MA,01020,29668.0,2378.0,181400.0,51255.0
Chicopee,MA,01022,2451.0,515.0,131400.0,58938.0
Cummington,MA,01026,946.0,39.0,280800.0,52155.0
Easthampton,MA,01027,17660.0,436.0,236700.0,59963.0
East Longmeadow,MA,01028,15720.0,1209.0,256300.0,80469.0
East Otis,MA,01029,789.0,50.0,340800.0,54330.0
Feeding Hills,MA,01030,11669.0,983.0,248800.0,71228.0
Gilbertville,MA,01031,1308.0,162.0,219800.0,42404.0
Goshen,MA,01032,570.0,48.0,231700.0,61806.0
Granby,MA,01033,6227.0,224.0,245900.0,73816.0
Granville,MA,01034,2021.0,28.0,282100.0,77500.0
Hadley,MA,01035,5250.0,227.0,326400.0,73250.0
Hampden,MA,01036,5109.0,262.0,270300.0,81130.0
Hardwick,MA,01037,838.0,63.0,279800.0,84444.0
Hatfield,MA,01038,2545.0,255.0,299200.0,61603.0
Haydenville,MA,01039,1336.0,101.0,277400.0,72188.0
Holyoke,MA,01040,39880.0,1874.0,187200.0,31628.0
Huntington,MA,01050,2530.0,66.0,220200.0,56184.0
Leeds,MA,01053,1685.0,328.0,289100.0,64896.0
Leverett,MA,01054,1851.0,81.0,341700.0,73000.0
Ludlow,MA,01056,21103.0,776.0,225500.0,61073.0
Monson,MA,01057,8534.0,190.0,240700.0,64747.0
Northampton,MA,01060,15284.0,1400.0,305500.0,52607.0
Florence,MA,01062,11150.0,614.0,270300.0,65756.0
Oakham,MA,01068,1902.0,91.0,272800.0,85556.0
