,DRG Definition,Provider ID,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Hospital Name,Zipcode,Score,Score Range,Rank,Rank Range,Function,City,State_x,Score Percentile,Rank Percentile,Major City,State_y,Population,Population Density,Median Home Value,median Household Income
0,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,175,44074.41,11581.0,9195.18,SOUTHEAST ALABAMA MEDICAL CENTER,36301,1.9,3,8,34,Consumer Satisfaction,DOTHAN,AL,0.6333333333333333,0.2352941176470588,Dothan,AL,35759.0,401.0,106300.0,37708.0
1,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,AL - Birmingham,168,25815.24,11093.21,9300.83,MARSHALL MEDICAL CENTER SOUTH,35957,2.1,3,18,34,Consumer Satisfaction,BOAZ,AL,0.7000000000000001,0.5294117647058824,Boaz,AL,15693.0,197.0,98800.0,37546.0
2,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,AL - Dothan,13,41980.92,10972.23,9365.46,MIZELL MEMORIAL HOSPITAL,36467,2.0,3,13,34,Consumer Satisfaction,OPP,AL,0.6666666666666666,0.38235294117647056,Opp,AL,10058.0,61.0,80300.0,36029.0
3,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,101,73697.51,11500.55,9634.01,SHELBY BAPTIST MEDICAL CENTER,35007,1.9,3,7,34,Consumer Satisfaction,ALABASTER,AL,0.6333333333333333,0.2058823529411765,Alabaster,AL,26225.0,702.0,153900.0,64299.0
4,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,248,34197.05,10826.97,8479.26,HELEN KELLER MEMORIAL HOSPITAL,35660,2.0,3,13,34,Consumer Satisfaction,SHEFFIELD,AL,0.6666666666666666,0.38235294117647056,Sheffield,AL,9042.0,1401.0,83600.0,34304.0
5,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,292,38472.06,12021.55,10269.2,BAPTIST MEDICAL CENTER SOUTH,36116,1.9,3,9,34,Consumer Satisfaction,MONTGOMERY,AL,0.6333333333333333,0.2647058823529412,Montgomery,AL,43790.0,781.0,110200.0,42861.0
6,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,173,54588.64,10289.65,8431.27,JACKSON HOSPITAL & CLINIC INC,36106,2.0,3,13,34,Consumer Satisfaction,MONTGOMERY,AL,0.6666666666666666,0.38235294117647056,Montgomery,AL,15211.0,2501.0,161600.0,58185.0
7,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,364,32760.18,11482.31,9308.07,EAST ALABAMA MEDICAL CENTER,36801,2.0,3,13,34,Consumer Satisfaction,OPELIKA,AL,0.6666666666666666,0.38235294117647056,Opelika,AL,22214.0,310.0,143700.0,37451.0
8,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,144,52171.17,16477.93,11465.76,UNIVERSITY OF ALABAMA HOSPITAL,35233,2.3,3,28,34,Consumer Satisfaction,BIRMINGHAM,AL,0.7666666666666666,0.8235294117647058,Birmingham,AL,1308.0,778.0,288600.0,49423.0
9,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,AL - Birmingham,145,53336.41,14943.73,12074.82,CULLMAN REGIONAL MEDICAL CENTER,35058,2.1,3,21,34,Consumer Satisfaction,CULLMAN,AL,0.7000000000000001,0.6176470588235294,Cullman,AL,9936.0,144.0,130900.0,37292.0
