City-State,Population,Population Density
AARONSBURG-PA,1217.0,43.0
ABBEVILLE-AL,6783.0,31.0
ABBEVILLE-GA,4816.0,28.0
ABBEVILLE-LA,25313.0,110.0
ABBEVILLE-MS,2371.0,25.0
ABBEVILLE-SC,12934.0,52.0
ABBOT-ME,819.0,9.0
ABBOTSFORD-WI,3032.0,101.0
ABBOTT-TX,1037.0,14.0
ABBOTTSTOWN-PA,4053.0,309.0
ABBYVILLE-KS,281.0,5.0
ABELL-MD,431.0,149.0
ABERCROMBIE-ND,55.0,228.0
ABERDEEN-ID,3449.0,13.0
ABERDEEN-MD,21487.0,719.0
ABERDEEN-MS,11805.0,47.0
ABERDEEN-NC,11681.0,183.0
ABERDEEN-OH,2385.0,132.0
ABERDEEN-SD,30061.0,103.0
ABERDEEN-WA,23814.0,100.0
ABERNATHY-TX,3445.0,20.0
ABIE-NE,77.0,27.0
ABILENE-KS,10141.0,32.0
ABILENE-TX,123875.0,762.8
ABINGDON-IL,3912.0,95.0
ABINGDON-MD,29766.0,2624.0
ABINGDON-VA,26762.0,129.5
ABINGTON-MA,16029.0,1660.0
ABINGTON-PA,17020.0,4916.0
ABIQUIU-NM,1096.0,3.0
ABITA SPRINGS-LA,7345.0,144.0
ABRAMS-WI,2751.0,52.0
ABSAROKEE-MT,1643.0,10.0
ABSECON-NJ,38633.0,1225.0
ACAMPO-CA,7273.0,126.0
ACCIDENT-MD,2074.0,34.0
ACCOKEEK-MD,9802.0,467.0
ACCOMAC-VA,1831.0,67.0
ACCORD-NY,3385.0,95.0
ACCOVILLE-WV,964.0,137.0
ACHILLE-OK,608.0,47.0
ACKERLY-TX,592.0,4.0
ACKERMAN-MS,3916.0,25.0
ACKLEY-IA,2464.0,17.0
ACKWORTH-IA,680.0,28.0
ACME-PA,3738.0,97.0
ACME-WA,634.0,31.0
ACOSTA-PA,293.0,433.0
ACRA-NY,780.0,109.0
ACTON-CA,7993.0,111.0
ACTON-MA,21361.0,1084.0
ACTON-ME,2429.0,68.0
ACTON-MT,165.0,3.0
ACUSHNET-MA,10307.0,559.0
ACWORTH-GA,91843.0,1313.5
ACWORTH-NH,477.0,25.0
ADA-MI,18701.0,330.0
ADA-MN,2333.0,10.0
ADA-OH,8460.0,135.0
ADA-OK,30802.0,100.0
ADAH-PA,905.0,86.0
ADAIR-IA,1297.0,12.0
ADAIR-IL,378.0,10.0
ADAIR-OK,2884.0,30.0
ADAIRSVILLE-GA,14781.0,146.0
ADAIRVILLE-KY,2389.0,39.0
ADAK-AK,326.0,23.0
ADAMANT-VT,161.0,43.0
ADAMS CENTER-NY,2716.0,77.0
ADAMS RUN-SC,1741.0,26.0
ADAMS-KY,238.0,24.0
ADAMS-MA,8603.0,350.0
ADAMS-MN,1428.0,28.0
ADAMS-ND,322.0,2.0
ADAMS-NE,1466.0,15.0
ADAMS-NY,4777.0,59.0
ADAMS-OK,156.0,13.0
ADAMS-OR,815.0,4.0
ADAMS-TN,4679.0,61.0
ADAMS-WI,3508.0,57.0
ADAMSBURG-PA,543.0,788.0
ADAMSTOWN-MD,4515.0,177.0
ADAMSTOWN-PA,1047.0,1038.0
ADAMSVILLE-AL,7942.0,230.0
ADAMSVILLE-OH,1075.0,29.0
ADAMSVILLE-PA,314.0,42.0
ADAMSVILLE-TN,6145.0,54.0
ADDIEVILLE-IL,1229.0,19.0
ADDINGTON-OK,149.0,14.0
ADDIS-LA,3593.0,436.0
ADDISON-AL,2415.0,33.0
ADDISON-IL,39119.0,3392.0
ADDISON-ME,1272.0,30.0
ADDISON-MI,2290.0,81.0
ADDISON-NY,5475.0,50.0
ADDISON-PA,661.0,38.0
ADDISON-TX,12414.0,3237.0
ADDY-WA,1453.0,13.0
ADDYSTON-OH,606.0,1001.0
ADEL-GA,10690.0,86.0
ADEL-IA,6594.0,58.0
ADEL-OR,111.0,0.0
ADELANTO-CA,32725.0,192.0
ADELL-WI,1901.0,64.0
ADELPHI-OH,380.0,1389.0
ADENA-OH,2219.0,71.0
ADGER-AL,3121.0,31.0
ADIN-CA,557.0,3.0
ADIRONDACK-NY,306.0,14.0
ADKINS-TX,7898.0,154.0
ADMIRE-KS,262.0,9.0
ADOLPHUS-KY,2588.0,57.0
ADONA-AR,566.0,22.0
ADRIAN-GA,2910.0,25.0
ADRIAN-MI,41310.0,349.0
ADRIAN-MN,1843.0,17.0
ADRIAN-MO,3843.0,29.0
ADRIAN-OR,692.0,7.0
ADRIAN-PA,1014.0,51.0
ADRIAN-TX,249.0,1.0
ADVANCE-MO,3430.0,28.0
ADVANCE-NC,14150.0,222.0
AFTON-IA,1743.0,15.0
AFTON-MI,937.0,12.0
AFTON-MN,2916.0,111.0
AFTON-NY,2805.0,57.0
AFTON-OK,7258.0,65.0
AFTON-TN,4874.0,109.0
AFTON-TX,197.0,1.0
AFTON-VA,4186.0,55.0
AFTON-WY,4307.0,29.0
AGAR-SD,153.0,1.0
AGATE-CO,392.0,2.0
AGAWAM-MA,16769.0,1466.0
AGENCY-IA,1005.0,71.0
AGENCY-MO,1417.0,38.0
AGENDA-KS,186.0,2.0
AGES BROOKSIDE-KY,531.0,75.0
AGNESS-OR,105.0,1.0
AGOURA HILLS-CA,25488.0,748.0
AGRA-KS,393.0,6.0
AGRA-OK,1253.0,34.0
AGUA DULCE-TX,878.0,50.0
AGUANGA-CA,3810.0,31.0
AGUILA-AZ,1197.0,2.0
AGUILAR-CO,954.0,2.0
AHMEEK-MI,346.0,143.0
AHOSKIE-NC,12007.0,88.0
AHSAHKA-ID,194.0,17.0
AHWAHNEE-CA,1909.0,43.0
AIEA-HI,40281.0,2130.0
AIKEN-SC,69485.0,186.33333333333334
AILEY-GA,2168.0,32.0
AINSWORTH-IA,1267.0,19.0
AINSWORTH-NE,2484.0,3.0
AIRVILLE-PA,3083.0,80.0
AIRWAY HEIGHTS-WA,6151.0,866.0
AITKIN-MN,8931.0,20.0
AJO-AZ,4435.0,3.0
AKASKA-SD,75.0,2.0
AKELEY-MN,1840.0,15.0
AKIACHAK-AK,627.0,277.0
AKIAK-AK,346.0,343.0
AKRON-AL,1060.0,16.0
AKRON-CO,2558.0,3.0
AKRON-IA,2432.0,17.0
AKRON-IN,3360.0,54.0
AKRON-MI,1368.0,32.0
AKRON-NY,9464.0,144.0
AKRON-OH,270742.0,3042.6875
AKRON-PA,4307.0,3096.0
AKUTAN-AK,1027.0,74.0
ALABASTER-AL,26225.0,702.0
ALACHUA-FL,15167.0,731.0
ALADDIN-WY,243.0,1.0
ALAKANUK-AK,677.0,31.0
ALAMEDA-CA,73812.0,6333.5
ALAMO-CA,14889.0,1173.0
ALAMO-GA,4371.0,29.0
ALAMO-IN,64.0,1035.0
ALAMO-ND,213.0,1.0
ALAMO-NV,1224.0,1.0
ALAMO-TN,4719.0,70.0
ALAMO-TX,33722.0,887.0
ALAMOGORDO-NM,36630.0,216.5
ALAMOSA-CO,14675.0,36.0
ALANSON-MI,4585.0,73.0
ALAPAHA-GA,2178.0,20.0
ALBA-MI,236.0,150.0
ALBA-MO,639.0,449.0
ALBA-TX,4334.0,53.0
ALBANY-CA,19615.0,13287.0
ALBANY-GA,101511.0,608.5
ALBANY-IL,1232.0,66.0
ALBANY-IN,4134.0,123.0
ALBANY-KY,10216.0,53.0
ALBANY-LA,5266.0,270.0
ALBANY-MN,5157.0,48.0
ALBANY-MO,2388.0,18.0
ALBANY-NY,144533.0,4279.5
ALBANY-OH,5541.0,55.0
ALBANY-OR,58967.0,457.0
ALBANY-TX,2532.0,7.0
ALBANY-VT,662.0,28.0
ALBANY-WI,2421.0,47.0
ALBEMARLE-NC,26760.0,201.0
ALBERS-IL,1872.0,175.0
ALBERT CITY-IA,1116.0,13.0
ALBERT LEA-MN,21228.0,126.0
ALBERT-KS,318.0,5.0
ALBERTA-AL,784.0,16.0
ALBERTA-MN,251.0,5.0
ALBERTA-VA,1597.0,25.0
ALBERTON-MT,1361.0,3.0
ALBERTSON-NC,2737.0,78.0
ALBERTSON-NY,7406.0,6859.0
ALBERTVILLE-AL,33924.0,323.5
ALBERTVILLE-MN,10535.0,1036.0
ALBIA-IA,5976.0,28.0
ALBIN-WY,401.0,2.0
ALBION-CA,950.0,24.0
ALBION-IA,730.0,27.0
ALBION-ID,562.0,5.0
ALBION-IL,3412.0,33.0
ALBION-IN,7979.0,83.0
ALBION-ME,2041.0,53.0
ALBION-MI,14224.0,144.0
ALBION-NE,2967.0,10.0
ALBION-NY,14491.0,128.0
ALBION-OK,217.0,23.0
ALBION-PA,6581.0,115.0
ALBION-RI,786.0,4020.0
ALBION-WA,500.0,2166.0
ALBORN-MN,500.0,7.0
ALBRIGHT-WV,1836.0,28.0
ALBRIGHTSVILLE-PA,8258.0,264.0
ALBUQUERQUE-NM,637232.0,2664.125
ALBURGH-VT,1998.0,69.0
ALBURNETT-IA,1152.0,46.0
ALBURTIS-PA,5450.0,331.0
ALCALDE-NM,2747.0,50.0
ALCESTER-SD,1672.0,13.0
ALCOA-TN,6817.0,647.0
ALCOLU-SC,2148.0,33.0
ALCOVE-NY,60.0,49.0
ALDA-NE,1109.0,58.0
ALDEN-IA,1676.0,14.0
ALDEN-KS,234.0,7.0
ALDEN-MI,1121.0,48.0
ALDEN-MN,1613.0,17.0
ALDEN-NY,12704.0,265.0
ALDER CREEK-NY,98.0,40.0
ALDER-MT,286.0,0.0
ALDERPOINT-CA,360.0,6.0
ALDERSON-OK,344.0,421.0
ALDERSON-WV,5383.0,39.0
ALDIE-VA,11315.0,305.0
ALDRICH-MN,235.0,16.0
ALDRICH-MO,812.0,16.0
ALEDO-IL,5627.0,38.0
ALEDO-TX,13602.0,184.0
ALEKNAGIK-AK,221.0,12.0
ALEPPO-PA,290.0,16.0
ALEX-OK,1062.0,23.0
ALEXANDER CITY-AL,20816.0,96.0
ALEXANDER-AR,14134.0,246.0
ALEXANDER-IA,377.0,8.0
ALEXANDER-IL,434.0,10.0
ALEXANDER-KS,93.0,2.0
ALEXANDER-NC,3635.0,204.0
ALEXANDER-ND,472.0,1.0
ALEXANDER-NY,1986.0,59.0
ALEXANDRIA BAY-NY,1822.0,102.0
ALEXANDRIA-AL,4603.0,261.0
ALEXANDRIA-IN,10459.0,142.0
ALEXANDRIA-KY,16412.0,321.0
ALEXANDRIA-LA,58923.0,793.0
ALEXANDRIA-MN,23961.0,154.0
ALEXANDRIA-MO,639.0,12.0
ALEXANDRIA-NE,289.0,5.0
ALEXANDRIA-OH,2400.0,90.0
ALEXANDRIA-PA,2410.0,56.0
ALEXANDRIA-SD,1616.0,9.0
ALEXANDRIA-TN,2292.0,66.0
ALEXANDRIA-VA,321490.0,6707.214285714285
ALEXIS-IL,1321.0,18.0
ALEXIS-NC,1130.0,211.0
ALFORD-FL,2144.0,41.0
ALFRED STATION-NY,1174.0,47.0
ALFRED-ME,7351.0,111.0
ALFRED-NY,4135.0,3975.0
ALGER-MI,3083.0,26.0
ALGER-OH,1943.0,49.0
ALGODONES-NM,3684.0,31.0
ALGOMA-WI,5345.0,71.0
ALGONA-IA,7137.0,58.0
ALGONAC-MI,11986.0,631.0
ALGONQUIN-IL,32193.0,2221.0
ALHAMBRA-CA,83057.0,10693.0
ALHAMBRA-IL,1752.0,34.0
ALICE-TX,28710.0,57.0
ALICEVILLE-AL,4972.0,21.0
ALICIA-AR,498.0,7.0
