Provider Id,Hospital Name,Zipcode,Score,Score Range,Rank,Rank Range,Function,City,State,Score Percentile,Rank Percentile
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.2,3,18,27,Infections,DOTHAN,AL,0.733333333,0.666666667
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2,3,31,57,Readmission & Death,DOTHAN,AL,0.666666667,0.543859649
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2,3,5,10,Payments,DOTHAN,AL,0.666666667,0.5
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.3,3,14,22,Imaging,DOTHAN,AL,0.766666667,0.636363636
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,1.9,3,8,34,Consumer Satisfaction,DOTHAN,AL,0.633333333,0.235294118
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.8,5,39,91,Star Ratings,DOTHAN,AL,0.56,0.428571429
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,1.1,2,3,20,Structural,DOTHAN,AL,0.55,0.15
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.2,3,144,687,Timeliness,DOTHAN,AL,0.733333333,0.209606987
10001,SOUTHEAST ALABAMA MEDICAL CENTER,36301,1.7,3,5,21,Complications,DOTHAN,AL,0.566666667,0.238095238
10005,MARSHALL MEDICAL CENTER SOUTH,35957,2.2,3,43,57,Readmission & Death,BOAZ,AL,0.733333333,0.754385965
10005,MARSHALL MEDICAL CENTER SOUTH,35957,2,3,9,21,Complications,BOAZ,AL,0.666666667,0.428571429
10005,MARSHALL MEDICAL CENTER SOUTH,35957,1.7,2,14,20,Structural,BOAZ,AL,0.85,0.7
10005,MARSHALL MEDICAL CENTER SOUTH,35957,4.2,5,75,91,Star Ratings,BOAZ,AL,0.84,0.824175824
10005,MARSHALL MEDICAL CENTER SOUTH,35957,2,3,5,10,Payments,BOAZ,AL,0.666666667,0.5
10005,MARSHALL MEDICAL CENTER SOUTH,35957,2.1,3,18,34,Consumer Satisfaction,BOAZ,AL,0.7,0.529411765
10005,MARSHALL MEDICAL CENTER SOUTH,35957,2.3,3,217,687,Timeliness,BOAZ,AL,0.766666667,0.315866084
10005,MARSHALL MEDICAL CENTER SOUTH,35957,1.8,3,11,27,Infections,BOAZ,AL,0.6,0.407407407
10005,MARSHALL MEDICAL CENTER SOUTH,35957,2,3,10,22,Imaging,BOAZ,AL,0.666666667,0.454545455
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.1,3,10,21,Complications,FLORENCE,AL,0.7,0.476190476
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.1,3,33,57,Readmission & Death,FLORENCE,AL,0.7,0.578947368
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.3,3,6,10,Payments,FLORENCE,AL,0.766666667,0.6
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.1,3,18,34,Consumer Satisfaction,FLORENCE,AL,0.7,0.529411765
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,3.7,5,62,91,Star Ratings,FLORENCE,AL,0.74,0.681318681
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,1.4,2,11,20,Structural,FLORENCE,AL,0.7,0.55
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.4,3,320,687,Timeliness,FLORENCE,AL,0.8,0.465793304
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,2.2,3,12,22,Imaging,FLORENCE,AL,0.733333333,0.545454545
10006,ELIZA COFFEE MEMORIAL HOSPITAL,35631,1.7,3,9,27,Infections,FLORENCE,AL,0.566666667,0.333333333
10007,MIZELL MEMORIAL HOSPITAL,36467,3,3,10,10,Payments,OPP,AL,1,1
10007,MIZELL MEMORIAL HOSPITAL,36467,2,3,9,21,Complications,OPP,AL,0.666666667,0.428571429
10007,MIZELL MEMORIAL HOSPITAL,36467,2,3,15,27,Infections,OPP,AL,0.666666667,0.555555556
