DRG Definition,Provider ID,Provider Name,Provider City,Provider State,Provider Zip Code,Hospital Ownership,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,region cat,region cat num,income cat,income cat num,Median Home Value,median Household Income,Population,Population Density,Major City,State_y,Mortality national comparison_y,Safety of care national comparison_y,Readmission national comparison_y,Patient experience national comparison_y,Effectiveness of care national comparison_y,Timeliness of care national comparison_y,Efficient use of medical imaging national comparison_y,Hospital overall rating,Mortality national comparison_x,Safety of care national comparison_x,Readmission national comparison_x,Patient experience national comparison_x,Effectiveness of care national comparison_x,Timeliness of care national comparison_x,Efficient use of medical imaging national comparison_x,Hospital Type,Hospital Referral Region (HRR) Description,Hospital Name
638 - DIABETES W CC,250001,UNIVERSITY OF MISSISSIPPI MED CENTER,JACKSON,MS,39216,Government - State,31,19586.58,9141.03,6945.0,suburban,2.0,middle income,2.0,188800.0,48250.0,3454.0,1020.0,Jackson,MS,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Acute Care Hospitals,MS - Jackson,UNIVERSITY OF MISSISSIPPI MED CENTER
638 - DIABETES W CC,250004,NORTH MISSISSIPPI MEDICAL CENTER,TUPELO,MS,38801,Voluntary non-profit - Private,89,21039.18,5422.56,3948.93,rural,1.0,low income,1.0,113000.0,39516.0,29871.0,395.0,Tupelo,MS,1.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,MS - Tupelo,NORTH MISSISSIPPI MEDICAL CENTER
638 - DIABETES W CC,250009,MAGNOLIA REGIONAL HEALTH CENTER,CORINTH,MS,38834,Voluntary non-profit - Other,36,26304.33,5852.42,4066.03,rural,1.0,low income,1.0,89400.0,34267.0,29133.0,133.0,Corinth,MS,1.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Acute Care Hospitals,TN - Memphis,MAGNOLIA REGIONAL HEALTH CENTER
638 - DIABETES W CC,250019,MEMORIAL HOSPITAL AT GULFPORT,GULFPORT,MS,39502,Government - Local,42,62883.5,5258.81,3864.95,,,,,,,,,,,2.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,MS - Gulfport,MEMORIAL HOSPITAL AT GULFPORT
638 - DIABETES W CC,250031,MERIT HEALTH RIVER REGION,VICKSBURG,MS,39183,Proprietary,16,39734.69,5475.5,4409.75,rural,1.0,low income,1.0,105900.0,41659.0,15661.0,62.0,Vicksburg,MS,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,MS - Jackson,MERIT HEALTH RIVER REGION
638 - DIABETES W CC,250034,BAPTIST MEMORIAL HOSPITAL NORTH MS,OXFORD,MS,38655,Voluntary non-profit - Private,27,16107.04,4862.07,3787.26,rural,1.0,low income,1.0,183700.0,43929.0,36699.0,95.0,Oxford,MS,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,MS - Oxford,BAPTIST MEMORIAL HOSPITAL NORTH MS
638 - DIABETES W CC,250040,SINGING RIVER HOSPITAL,PASCAGOULA,MS,39581,Government - Local,34,30073.62,4940.18,3573.56,rural,1.0,low income,1.0,99700.0,39050.0,11595.0,590.0,Pascagoula,MS,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,AL - Mobile,SINGING RIVER HOSPITAL
638 - DIABETES W CC,250042,NORTHWEST MISSISSIPPI MEDICAL CENTER,CLARKSDALE,MS,38614,Proprietary,14,42190.21,5909.29,5071.29,rural,1.0,low income,1.0,58500.0,26958.0,20418.0,82.0,Clarksdale,MS,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,TN - Memphis,NORTHWEST MISSISSIPPI MEDICAL CENTER
638 - DIABETES W CC,250048,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,JACKSON,MS,39216,Voluntary non-profit - Church,56,18563.38,4907.61,3984.62,suburban,2.0,middle income,2.0,188800.0,48250.0,3454.0,1020.0,Jackson,MS,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,Same as the national average,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Acute Care Hospitals,MS - Jackson,ST DOMINIC-JACKSON MEMORIAL HOSPITAL
638 - DIABETES W CC,250058,SOUTH CENTRAL REG MED CTR,LAUREL,MS,39440,Government - Local,35,10934.94,4899.06,4076.46,suburban,2.0,low income,1.0,72000.0,29326.0,21305.0,1079.0,Laurel,MS,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Acute Care Hospitals,MS - Hattiesburg,SOUTH CENTRAL REG MED CTR
