DRG Definition,Provider ID,Provider Name,Provider City,Provider State,Provider Zip Code,Hospital Ownership,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,region cat,region cat num,income cat,income cat num,Median Home Value,median Household Income,Population,Population Density,Major City,State_y,Mortality national comparison_y,Safety of care national comparison_y,Readmission national comparison_y,Patient experience national comparison_y,Effectiveness of care national comparison_y,Timeliness of care national comparison_y,Efficient use of medical imaging national comparison_y,Hospital overall rating,Mortality national comparison_x,Safety of care national comparison_x,Readmission national comparison_x,Patient experience national comparison_x,Effectiveness of care national comparison_x,Timeliness of care national comparison_x,Efficient use of medical imaging national comparison_x,Hospital Type,Hospital Referral Region (HRR) Description,Hospital Name
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250001,UNIVERSITY OF MISSISSIPPI MED CENTER,JACKSON,MS,39216,Government - State,134,44900.96,16546.34,14040.15,suburban,2,middle income,2,188800,48250,3454,1020,Jackson,MS,1,1,1,1,2,1,1,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Acute Care Hospitals,MS - Jackson,UNIVERSITY OF MISSISSIPPI MED CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250004,NORTH MISSISSIPPI MEDICAL CENTER,TUPELO,MS,38801,Voluntary non-profit - Private,701,44032.02,12088.03,9931.55,rural,1,low income,1,113000,39516,29871,395,Tupelo,MS,1,3,1,3,2,3,2,2,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,MS - Tupelo,NORTH MISSISSIPPI MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,NEW ALBANY,MS,38652,Voluntary non-profit - Other,68,32313.15,11202.21,9786.63,rural,1,low income,1,95900,39984,16600,107,New Albany,MS,2,3,3,3,2,3,2,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,MS - Tupelo,BAPTIST MEMORIAL HOSPITAL UNION COUNTY
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250009,MAGNOLIA REGIONAL HEALTH CENTER,CORINTH,MS,38834,Voluntary non-profit - Other,246,61179.7,12630.68,10685.65,rural,1,low income,1,89400,34267,29133,133,Corinth,MS,1,3,1,3,2,3,3,2,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Acute Care Hospitals,TN - Memphis,MAGNOLIA REGIONAL HEALTH CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250019,MEMORIAL HOSPITAL AT GULFPORT,GULFPORT,MS,39502,Government - Local,231,107512.24,11987.7,8972.17,,,,,,,,,,,2,1,3,2,2,2,1,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,MS - Gulfport,MEMORIAL HOSPITAL AT GULFPORT
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250034,BAPTIST MEMORIAL HOSPITAL NORTH MS,OXFORD,MS,38655,Voluntary non-profit - Private,220,37394.08,11757.9,9591,rural,1,low income,1,183700,43929,36699,95,Oxford,MS,2,3,3,3,2,3,2,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,MS - Oxford,BAPTIST MEMORIAL HOSPITAL NORTH MS
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250040,SINGING RIVER HOSPITAL,PASCAGOULA,MS,39581,Government - Local,326,70648.11,11044.13,8759.58,rural,1,low income,1,99700,39050,11595,590,Pascagoula,MS,1,1,1,1,2,2,1,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,AL - Mobile,SINGING RIVER HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250042,NORTHWEST MISSISSIPPI MEDICAL CENTER,CLARKSDALE,MS,38614,Proprietary,14,124303.07,12791.36,11481.36,rural,1,low income,1,58500,26958,20418,82,Clarksdale,MS,2,,1,2,2,2,2,2,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,TN - Memphis,NORTHWEST MISSISSIPPI MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250048,ST DOMINIC-JACKSON MEMORIAL HOSPITAL,JACKSON,MS,39216,Voluntary non-profit - Church,291,34530.84,11238.14,8842.41,suburban,2,middle income,2,188800,48250,3454,1020,Jackson,MS,2,1,1,3,1,2,3,3,Same as the national average,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Acute Care Hospitals,MS - Jackson,ST DOMINIC-JACKSON MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250050,OCH REGIONAL MEDICAL CENTER,STARKVILLE,MS,39759,Government - Local,73,39133.84,12323.77,11086.01,rural,1,low income,1,139400,30625,42108,130,Starkville,MS,2,2,3,2,2,2,1,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,MS - Tupelo,OCH REGIONAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,BROOKHAVEN,MS,39601,Voluntary non-profit - Other,34,37809.53,13568.97,11388.24,rural,1,low income,1,86700,33346,23536,89,Brookhaven,MS,2,1,2,3,1,2,2,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Acute Care Hospitals,MS - Jackson,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250058,SOUTH CENTRAL REG MED CTR,LAUREL,MS,39440,Government - Local,60,32862.93,12172.98,10446.82,suburban,2,low income,1,72000,29326,21305,1079,Laurel,MS,2,1,1,1,2,3,1,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Acute Care Hospitals,MS - Hattiesburg,SOUTH CENTRAL REG MED CTR
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250069,RUSH FOUNDATION HOSPITAL,MERIDIAN,MS,39301,Voluntary non-profit - Private,221,51444.25,11651.57,9258.85,rural,1,low income,1,72100,30821,27449,98,Meridian,MS,2,1,1,1,3,3,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Acute Care Hospitals,MS - Meridian,RUSH FOUNDATION HOSPITAL
