,Unnamed: 0,DRG,Provider Id,Name,Provider Street Address,City_x,State_x,Zip Code,Region,Discharges,List Price,Average Total,Average Medicare,Latitude,Longitude,Per Capita Income,Poverty Rate,Median Age,Hospital Name,Zipcode,Score,Score Range,Rank,Rank Range,Function,City_y,State_y,Score Percentile,Rank Percentile
0,7994,638 - DIABETES W CC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,46,22621.0,4685.85,3665.87,32.7794,-86.8287,23680,18.1408783,38.1,SOUTHEAST ALABAMA MEDICAL CENTER,36301,2.8,5,39,91,Star Ratings,DOTHAN,AL,0.56,0.428571429
1,7995,638 - DIABETES W CC,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,AL - Birmingham,24,10973.17,4805.96,3774.25,32.7794,-86.8287,23680,18.1408783,38.1,MARSHALL MEDICAL CENTER SOUTH,35957,4.2,5,75,91,Star Ratings,BOAZ,AL,0.84,0.8241758240000001
2,7996,638 - DIABETES W CC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,23,17132.35,4441.78,3301.7,32.7794,-86.8287,23680,18.1408783,38.1,ELIZA COFFEE MEMORIAL HOSPITAL,35631,3.7,5,62,91,Star Ratings,FLORENCE,AL,0.74,0.6813186809999999
3,7998,638 - DIABETES W CC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,11,32367.18,4755.55,4162.45,32.7794,-86.8287,23680,18.1408783,38.1,SHELBY BAPTIST MEDICAL CENTER,35007,2.7,5,35,91,Star Ratings,ALABASTER,AL,0.54,0.384615385
4,7999,638 - DIABETES W CC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,27,13865.11,4484.44,3610.22,32.7794,-86.8287,23680,18.1408783,38.1,HELEN KELLER MEMORIAL HOSPITAL,35660,3.3,5,52,91,Star Ratings,SHEFFIELD,AL,0.66,0.571428571
5,8000,638 - DIABETES W CC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,30,18234.17,5587.7,4519.73,32.7794,-86.8287,23680,18.1408783,38.1,BAPTIST MEDICAL CENTER SOUTH,36116,2.8,5,40,91,Star Ratings,MONTGOMERY,AL,0.56,0.43956044
6,8001,638 - DIABETES W CC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,23,23575.74,4575.61,3199.09,32.7794,-86.8287,23680,18.1408783,38.1,JACKSON HOSPITAL & CLINIC INC,36106,3.3,5,52,91,Star Ratings,MONTGOMERY,AL,0.66,0.571428571
7,8002,638 - DIABETES W CC,10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,32,10989.53,4914.09,3850.09,32.7794,-86.8287,23680,18.1408783,38.1,EAST ALABAMA MEDICAL CENTER,36801,3.4,5,56,91,Star Ratings,OPELIKA,AL,0.68,0.615384615
8,8003,638 - DIABETES W CC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,50,24735.9,7945.36,5063.32,32.7794,-86.8287,23680,18.1408783,38.1,UNIVERSITY OF ALABAMA HOSPITAL,35233,4.2,5,75,91,Star Ratings,BIRMINGHAM,AL,0.84,0.8241758240000001
9,8004,638 - DIABETES W CC,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,AL - Birmingham,50,16551.04,5910.8,4221.14,32.7794,-86.8287,23680,18.1408783,38.1,CULLMAN REGIONAL MEDICAL CENTER,35058,3.9,5,69,91,Star Ratings,CULLMAN,AL,0.78,0.7582417579999999
