DRG Definition,Provider ID,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,from the Outpatient_Data_2017_XLSX,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Hospital name,Payment measure name,Payment measure ID,Payment category,Denominator,Payment,Lower estimate,Higher estimate,Payment footnote,Value of care display name,Value of care display ID,Value of care category,Value of care footnote,Measure start date,Measure End Date,Location
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,175,44074.41,11581.0,9195.18,a cms data flat file ,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,SOUTHEAST ALABAMA MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,284,"$24,984 ","$23,894 ","$26,172 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Higher Payment,,4/1/2015,3/31/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,AL - Birmingham,168,25815.24,11093.21,9300.83,https://data.medicare.gov/views/bg9k-emty/files/e2e2a7e3-7e89-4339-933b-e28e13f89b32?content_type=application%2Fzip%3B%20charset%3Dbinary&filename=Hospital_Revised_Flatfiles.zip,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,MARSHALL MEDICAL CENTER SOUTH,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,253,"$22,051 ","$21,041 ","$23,103 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"2505 U S HIGHWAY 431 NORTH BOAZ, AL 35957"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,232,50628.02,10522.91,8449.68,,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,NORTH ALABAMA MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,384,"$24,385 ","$23,435 ","$25,349 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Higher Payment,,4/1/2015,3/31/2018,"1701 VETERANS DRIVE FLORENCE, AL 35630 (34.802756, -87.652191)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,AL - Dothan,13,41980.92,10972.23,9365.46,,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,MIZELL MEMORIAL HOSPITAL,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,30,"$22,066 ","$19,589 ","$24,807 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"702 N MAIN ST OPP, AL 36467 (31.291972, -86.255415)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,93,35463.9,12053.11,9972.75,,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235.0,JEFFERSON,2058383122.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,ST VINCENT'S EAST,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,103,"$23,346 ","$21,720 ","$25,074 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Higher Payment,,4/1/2015,3/31/2018,"50 MEDICAL PARK EAST DRIVE BIRMINGHAM, AL 35235 (33.595351, -86.665182)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,101,73697.51,11500.55,9634.01,,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007.0,SHELBY,2056208100.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,SHELBY BAPTIST MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,174,"$22,017 ","$20,843 ","$23,259 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"1000 FIRST STREET NORTH ALABASTER, AL 35007 (33.253679, -86.814261)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,248,34197.05,10826.97,8479.26,,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660.0,COLBERT,2563864556.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,HELEN KELLER MEMORIAL HOSPITAL,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Greater Than the National Average Payment,403,"$22,841 ","$22,034 ","$23,716 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Higher Payment,,4/1/2015,3/31/2018,"1300 SOUTH MONTGOMERY AVENUE SHEFFIELD, AL 35660 (34.748249, -87.698866)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,292,38472.06,12021.55,10269.2,,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116.0,MONTGOMERY,3342882100.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,BAPTIST MEDICAL CENTER SOUTH,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,Less Than the National Average Payment,576,"$20,327 ","$19,734 ","$20,939 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Lower Payment,,4/1/2015,3/31/2018,"2105 EAST SOUTH BOULEVARD MONTGOMERY, AL 36116 (32.327144, -86.276764)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,173,54588.64,10289.65,8431.27,,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106.0,MONTGOMERY,3342938000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,JACKSON HOSPITAL & CLINIC INC,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,300,"$21,146 ","$20,273 ","$22,029 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"1725 PINE STREET MONTGOMERY, AL 36106 (32.366606, -86.285155)"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,364,32760.18,11482.31,9308.07,,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801.0,LEE,3347493411.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,EAST ALABAMA MEDICAL CENTER,Payment for hip/knee replacement patients,PAYM_90_HIP_KNEE,No Different Than the National Average Payment,692,"$20,970 ","$20,400 ","$21,554 ",,Value of Care hip/knee replacement,COMP_PAYM_90_HIP_KNEE,Average Complications and Average Payment,,4/1/2015,3/31/2018,"2000 PEPPERELL PARKWAY OPELIKA, AL 36801 (32.638055, -85.404003)"
