DRG Definition,Provider ID,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,from the Outpatient_Data_2017_XLSX,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote
638 - DIABETES W CC,330014,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,NY - East Long Island,31,25390.9,11995.45,9620.65,,JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418.0,QUEENS,7182626000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,
638 - DIABETES W CC,330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NY - East Long Island,33,25014.79,11743.61,9860.3,,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554.0,NASSAU,5165720123.0,Acute Care Hospitals,Government - Local,Yes,Y,1.0,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,
638 - DIABETES W CC,330043,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,NY - East Long Island,26,33167.96,7418.0,6406.65,,SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706.0,SUFFOLK,6319683000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,
638 - DIABETES W CC,330045,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,NY - East Long Island,22,31948.59,7174.36,5196.5,,HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743.0,SUFFOLK,6313512000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,
638 - DIABETES W CC,330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,NY - East Long Island,25,29479.6,9270.16,7857.32,,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355.0,QUEENS,7186702000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
638 - DIABETES W CC,330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NY - East Long Island,67,60592.9,9234.13,6975.04,,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030.0,NASSAU,5165620100.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,
638 - DIABETES W CC,330107,PECONIC BAY MEDICAL CENTER,1300 ROANOKE AVENUE,RIVERHEAD,NY,11901,NY - East Long Island,29,45502.86,7713.72,6082.66,,PECONIC BAY MEDICAL CENTER,1300 ROANOKE AVENUE,RIVERHEAD,NY,11901.0,SUFFOLK,6315486000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
638 - DIABETES W CC,330128,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,ELMHURST,NY,11373,NY - East Long Island,13,33177.0,14617.92,12802.38,,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,ELMHURST,NY,11373.0,QUEENS,7183341141.0,Acute Care Hospitals,Government - Local,Yes,Y,1.0,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.
638 - DIABETES W CC,330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,NY - East Long Island,26,38543.5,7262.19,5527.81,,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772.0,SUFFOLK,6316547100.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
638 - DIABETES W CC,330167,NYU WINTHROP HOSPITAL,259 FIRST STREET,MINEOLA,NY,11501,NY - East Long Island,39,60541.67,8450.1,7000.18,,NYU WINTHROP HOSPITAL,259 FIRST STREET,MINEOLA,NY,11501.0,NASSAU,5166630333.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,
