DRG Definition,Provider ID,Provider Name,Provider City,Provider State,Provider Zip Code,Hospital Ownership,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,region cat,region cat num,income cat,income cat num,Median Home Value,median Household Income,Population,Population Density,Major City,State_y,Mortality national comparison_y,Safety of care national comparison_y,Readmission national comparison_y,Patient experience national comparison_y,Effectiveness of care national comparison_y,Timeliness of care national comparison_y,Efficient use of medical imaging national comparison_y,Hospital overall rating,Mortality national comparison_x,Safety of care national comparison_x,Readmission national comparison_x,Patient experience national comparison_x,Effectiveness of care national comparison_x,Timeliness of care national comparison_x,Efficient use of medical imaging national comparison_x,Hospital Type,Hospital Referral Region (HRR) Description,Hospital Name
638 - DIABETES W CC,330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,KINGSTON,NY,12401,Voluntary non-profit - Private,18,45412.22,6026.94,4436.0,rural,1.0,middle income,2.0,189700.0,47225.0,35040.0,600.0,Kingston,NY,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - Albany,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS
638 - DIABETES W CC,330005,KALEIDA HEALTH,BUFFALO,NY,14210,Voluntary non-profit - Private,75,17417.81,8665.4,6514.13,suburban,2.0,low income,1.0,59200.0,32197.0,14694.0,4584.0,Buffalo,NY,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Buffalo,KALEIDA HEALTH
638 - DIABETES W CC,330009,BRONX-LEBANON HOSPITAL CENTER,BRONX,NY,10456,Proprietary,33,14387.67,16506.36,14475.82,urban,3.0,low income,1.0,388600.0,23452.0,86547.0,84979.0,Bronx,NY,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Bronx,BRONX-LEBANON HOSPITAL CENTER
638 - DIABETES W CC,330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",BINGHAMTON,NY,13905,Voluntary non-profit - Private,22,12541.05,4867.09,3990.86,suburban,2.0,low income,1.0,101100.0,34520.0,28026.0,1036.0,Binghamton,NY,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,NY - Binghamton,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC"
638 - DIABETES W CC,330013,ALBANY MEDICAL CENTER HOSPITAL,ALBANY,NY,12208,Voluntary non-profit - Private,70,22829.54,7652.03,5723.67,suburban,2.0,middle income,2.0,196600.0,58825.0,20702.0,4936.0,Albany,NY,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Albany,ALBANY MEDICAL CENTER HOSPITAL
638 - DIABETES W CC,330014,JAMAICA HOSPITAL MEDICAL CENTER,JAMAICA,NY,11418,Voluntary non-profit - Private,31,25390.9,11995.45,9620.65,suburban,2.0,middle income,2.0,427000.0,60691.0,36256.0,22201.0,Richmond Hill,NY,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,JAMAICA HOSPITAL MEDICAL CENTER
638 - DIABETES W CC,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",BROOKLYN,NY,11229,Voluntary non-profit - Private,38,16566.63,7701.89,6749.84,urban,3.0,middle income,2.0,524100.0,51725.0,80018.0,36934.0,Brooklyn,NY,3.0,3.0,1.0,1.0,2.0,1.0,,2.0,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,Acute Care Hospitals,NY - Manhattan,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC."
638 - DIABETES W CC,330023,VASSAR BROTHERS MEDICAL CENTER,POUGHKEEPSIE,NY,12601,Voluntary non-profit - Private,42,27492.5,6333.93,5494.6,suburban,2.0,low income,1.0,230300.0,42411.0,43398.0,2308.0,Poughkeepsie,NY,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Albany,VASSAR BROTHERS MEDICAL CENTER
638 - DIABETES W CC,330024,MOUNT SINAI HOSPITAL,NEW YORK,NY,10029,Voluntary non-profit - Private,56,31608.25,11281.54,8337.98,urban,3.0,low income,1.0,787000.0,31888.0,76003.0,92116.0,New York,NY,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,MOUNT SINAI HOSPITAL
638 - DIABETES W CC,330027,NASSAU UNIVERSITY MEDICAL CENTER,EAST MEADOW,NY,11554,Government - Local,33,25014.79,11743.61,9860.3,suburban,2.0,middle income,2.0,402000.0,92311.0,38132.0,6103.0,East Meadow,NY,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,NASSAU UNIVERSITY MEDICAL CENTER
