DRG Definition,Provider ID,Provider Name,Provider City,Provider State,Provider Zip Code,Hospital Ownership,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,region cat,region cat num,income cat,income cat num,Median Home Value,median Household Income,Population,Population Density,Major City,State_y,Mortality national comparison_y,Safety of care national comparison_y,Readmission national comparison_y,Patient experience national comparison_y,Effectiveness of care national comparison_y,Timeliness of care national comparison_y,Efficient use of medical imaging national comparison_y,Hospital overall rating,Mortality national comparison_x,Safety of care national comparison_x,Readmission national comparison_x,Patient experience national comparison_x,Effectiveness of care national comparison_x,Timeliness of care national comparison_x,Efficient use of medical imaging national comparison_x,Hospital Type,Hospital Referral Region (HRR) Description,Hospital Name
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330003,ALBANY MEMORIAL HOSPITAL,ALBANY,NY,12204,Voluntary non-profit - Private,19,32166.74,12540.95,9955.68,suburban,2,middle income,2,187800,49993,7349,1807,Albany,NY,2,2,3,1,2,1,,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Not Available,Acute Care Hospitals,NY - Albany,ALBANY MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,KINGSTON,NY,12401,Voluntary non-profit - Private,19,84432.68,14142.89,12666.84,rural,1,middle income,2,189700,47225,35040,600,Kingston,NY,2,1,1,1,2,1,3,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - Albany,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330005,KALEIDA HEALTH,BUFFALO,NY,14210,Voluntary non-profit - Private,530,37663.68,18217.87,13101.77,suburban,2,low income,1,59200,32197,14694,4584,Buffalo,NY,2,3,1,1,2,1,2,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Buffalo,KALEIDA HEALTH
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330006,ST JOSEPH'S MEDICAL CENTER,YONKERS,NY,10701,Voluntary non-profit - Private,16,11379.69,19988.44,18660.44,urban,3,low income,1,370900,43767,63393,15007,Yonkers,NY,2,1,1,1,2,1,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - White Plains,ST JOSEPH'S MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",BINGHAMTON,NY,13905,Voluntary non-profit - Private,231,38936.39,11932.07,10611.95,suburban,2,low income,1,101100,34520,28026,1036,Binghamton,NY,2,1,1,2,2,2,1,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,NY - Binghamton,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC"
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330013,ALBANY MEDICAL CENTER HOSPITAL,ALBANY,NY,12208,Voluntary non-profit - Private,397,34516.74,16140.79,12114.02,suburban,2,middle income,2,196600,58825,20702,4936,Albany,NY,2,3,1,1,2,1,2,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Albany,ALBANY MEDICAL CENTER HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330014,JAMAICA HOSPITAL MEDICAL CENTER,JAMAICA,NY,11418,Voluntary non-profit - Private,20,57317.2,23775.05,20236.8,suburban,2,middle income,2,427000,60691,36256,22201,Richmond Hill,NY,1,1,1,1,1,1,2,1,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,JAMAICA HOSPITAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330019,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",BROOKLYN,NY,11229,Voluntary non-profit - Private,12,30632.58,17623.92,16498.92,urban,3,middle income,2,524100,51725,80018,36934,Brooklyn,NY,3,3,1,1,2,1,,2,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,Acute Care Hospitals,NY - Manhattan,"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC."
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330023,VASSAR BROTHERS MEDICAL CENTER,POUGHKEEPSIE,NY,12601,Voluntary non-profit - Private,160,46042.41,15643.32,13446.79,suburban,2,low income,1,230300,42411,43398,2308,Poughkeepsie,NY,2,1,1,1,2,1,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Albany,VASSAR BROTHERS MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330024,MOUNT SINAI HOSPITAL,NEW YORK,NY,10029,Voluntary non-profit - Private,270,53968.88,24204.27,19095.56,urban,3,low income,1,787000,31888,76003,92116,New York,NY,3,3,1,1,2,1,2,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,MOUNT SINAI HOSPITAL
