DRG Definition,Provider ID,Provider Name,Provider City,Provider State,Provider Zip Code,Hospital Ownership,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,region cat,region cat num,income cat,income cat num,Median Home Value,median Household Income,Population,Population Density,Major City,State_y,Mortality national comparison_y,Safety of care national comparison_y,Readmission national comparison_y,Patient experience national comparison_y,Effectiveness of care national comparison_y,Timeliness of care national comparison_y,Efficient use of medical imaging national comparison_y,Hospital overall rating,Mortality national comparison_x,Safety of care national comparison_x,Readmission national comparison_x,Patient experience national comparison_x,Effectiveness of care national comparison_x,Timeliness of care national comparison_x,Efficient use of medical imaging national comparison_x,Hospital Type,Hospital Referral Region (HRR) Description,Hospital Name
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50125,REGIONAL MEDICAL CENTER OF SAN JOSE,SAN JOSE,CA,95116,Government - Federal,26,242599.65,21629.65,19110.42,urban,3.0,middle income,2.0,320900.0,48805.0,51496.0,14382.0,San Jose,CA,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - San Jose,REGIONAL MEDICAL CENTER OF SAN JOSE
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50367,NORTHBAY MEDICAL CENTER,FAIRFIELD,CA,94533,Voluntary non-profit - Other,97,237901.48,22254.72,17715.33,urban,3.0,middle income,2.0,211100.0,55413.0,69277.0,3207.0,Fairfield,CA,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - Contra Costa County,NORTHBAY MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50380,GOOD SAMARITAN HOSPITAL,SAN JOSE,CA,95124,Proprietary,234,215259.14,20394.35,16025.12,suburban,2.0,middle income,2.0,670000.0,105924.0,47082.0,7167.0,San Jose,CA,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - San Jose,GOOD SAMARITAN HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50194,WATSONVILLE COMMUNITY HOSPITAL,WATSONVILLE,CA,95076,Proprietary,35,195308.09,23353.57,19518.49,rural,1.0,middle income,2.0,366100.0,55208.0,82474.0,604.0,Watsonville,CA,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Santa Cruz,WATSONVILLE COMMUNITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50289,SETON MEDICAL CENTER,DALY CITY,CA,94015,Voluntary non-profit - Church,57,190160.37,19881.53,18672.4,urban,3.0,middle income,2.0,569500.0,76978.0,60927.0,10576.0,Daly City,CA,2.0,3.0,3.0,1.0,2.0,2.0,1.0,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,CA - San Mateo County,SETON MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,SACRAMENTO,CA,95817,Voluntary non-profit - Other,229,189720.95,27715.95,24153.59,suburban,2.0,low income,1.0,216900.0,34990.0,13534.0,5907.0,Sacramento,CA,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Sacramento,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50737,GARFIELD MEDICAL CENTER,MONTEREY PARK,CA,91754,Proprietary,15,189008.87,18931.53,17798.47,suburban,2.0,middle income,2.0,488100.0,57630.0,32742.0,7224.0,Monterey Park,CA,3.0,2.0,3.0,1.0,2.0,2.0,,4,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Acute Care Hospitals,CA - Los Angeles,GARFIELD MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50441,STANFORD HEALTH CARE,STANFORD,CA,94305,Voluntary non-profit - Private,492,187634.38,27357.88,24022.66,suburban,2.0,middle income,2.0,1000001.0,64697.0,13862.0,2703.0,Stanford,CA,3.0,3.0,3.0,2.0,2.0,1.0,2.0,4,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - San Mateo County,STANFORD HEALTH CARE
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50174,SANTA ROSA MEMORIAL HOSPITAL,SANTA ROSA,CA,95405,Voluntary non-profit - Private,307,176947.45,19279.4,17417.38,suburban,2.0,middle income,2.0,411700.0,71163.0,21399.0,3907.0,Santa Rosa,CA,2.0,3.0,3.0,1.0,2.0,1.0,3.0,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - Santa Rosa,SANTA ROSA MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50298,BARSTOW COMMUNITY HOSPITAL,BARSTOW,CA,92311,Proprietary,22,170320.77,20098.36,18907.09,rural,1.0,middle income,2.0,104600.0,46279.0,31894.0,128.0,Barstow,CA,2.0,,1.0,1.0,2.0,1.0,2.0,2,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - San Bernardino,BARSTOW COMMUNITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50739,CENTINELA HOSPITAL MEDICAL CENTER,INGLEWOOD,CA,90301,Proprietary,15,165510.47,17107.73,15851.13,suburban,2.0,low income,1.0,280800.0,38160.0,36568.0,14760.0,Inglewood,CA,3.0,3.0,1.0,1.0,2.0,1.0,2.0,4,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Los Angeles,CENTINELA HOSPITAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50625,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,90048,Voluntary non-profit - Other,996,164972.88,18909.79,14896.03,suburban,2.0,middle income,2.0,941100.0,72701.0,21397.0,11350.0,Los Angeles,CA,3.0,2.0,2.0,2.0,2.0,1.0,3.0,5,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - Los Angeles,CEDARS-SINAI MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50360,MARIN GENERAL HOSPITAL,GREENBRAE,CA,94904,Government - Local,203,161156.57,19679.31,17772.13,suburban,2.0,middle income,2.0,1000001.0,102538.0,11995.0,1656.0,Greenbrae,CA,2.0,3.0,3.0,1.0,2.0,2.0,2.0,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - San Francisco,MARIN GENERAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50254,MARSHALL MEDICAL CENTER,PLACERVILLE,CA,95667,Voluntary non-profit - Private,141,160997.2,18836.87,16044.88,rural,1.0,middle income,2.0,314300.0,57468.0,36726.0,212.0,Placerville,CA,2.0,3.0,3.0,3.0,2.0,1.0,1.0,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Acute Care Hospitals,CA - Sacramento,MARSHALL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50736,MONTEREY PARK HOSPITAL,MONTEREY PARK,CA,91754,Proprietary,27,159549.41,19515.7,18305.48,suburban,2.0,middle income,2.0,488100.0,57630.0,32742.0,7224.0,Monterey Park,CA,2.0,2.0,1.0,1.0,2.0,3.0,,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available,Acute Care Hospitals,CA - Los Angeles,MONTEREY PARK HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50195,WASHINGTON HOSPITAL,FREMONT,CA,94538,Government - Hospital District or Authority,972,158891.71,17056.67,14418.81,urban,3.0,middle income,2.0,480700.0,85945.0,61148.0,3715.0,Fremont,CA,2.0,3.0,1.0,2.0,2.0,2.0,2.0,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - Alameda County,WASHINGTON HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50225,ADVENTIST HEALTH FEATHER RIVER,PARADISE,CA,95969,Voluntary non-profit - Church,196,156793.69,15885.82,14573.27,rural,1.0,low income,1.0,209100.0,41179.0,27549.0,467.0,Paradise,CA,2.0,2.0,3.0,2.0,2.0,1.0,1.0,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Acute Care Hospitals,CA - Chico,ADVENTIST HEALTH FEATHER RIVER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,WALNUT CREEK,CA,94598,Voluntary non-profit - Other,438,156105.62,20469.63,16224.54,suburban,2.0,middle income,2.0,719200.0,121067.0,25818.0,1693.0,Walnut Creek,CA,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Acute Care Hospitals,CA - Contra Costa County,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50549,LOS ROBLES HOSPITAL & MEDICAL CENTER,THOUSAND OAKS,CA,91360,Proprietary,556,153618.28,16785.76,12885.34,suburban,2.0,middle income,2.0,556000.0,93042.0,42402.0,2919.0,Thousand Oaks,CA,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - Ventura,LOS ROBLES HOSPITAL & MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50481,WEST HILLS HOSPITAL & MEDICAL CENTER,WEST HILLS,CA,91307,Proprietary,175,153037.6,16344.13,13907.69,suburban,2.0,middle income,2.0,495300.0,97081.0,24474.0,3042.0,West Hills,CA,3.0,3.0,1.0,1.0,2.0,1.0,3.0,2,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - Los Angeles,WEST HILLS HOSPITAL & MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50136,PETALUMA VALLEY HOSPITAL,PETALUMA,CA,94954,Voluntary non-profit - Other,40,151203.35,20927.28,18730.38,rural,1.0,middle income,2.0,413100.0,80645.0,37365.0,603.0,Petaluma,CA,2.0,3.0,3.0,1.0,2.0,1.0,,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Not Available,Acute Care Hospitals,CA - Santa Rosa,PETALUMA VALLEY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50013,ADVENTIST HEALTH ST HELENA,SAINT HELENA,CA,94574,Voluntary non-profit - Private,671,149588.48,19493.6,16624.73,rural,1.0,middle income,2.0,919800.0,83551.0,8742.0,68.0,Saint Helena,CA,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - Napa,ADVENTIST HEALTH ST HELENA
