DRG,Bay,Central,Flint,Karmanos,Lansing,Lapeer,Macomb,Northern,Oakland,Port Huron
3,"$317,059 ",,"$346,710 ","$316,217 ","$311,818 ","$165,145 ","$263,842 ","$241,725 ","$232,635 ","$227,746 "
4,"$187,547 ",,"$185,908 ","$217,936 ","$217,111 ","$139,076 ","$178,314 ","$153,925 ","$186,432 ","$122,011 "
11,,,,"$86,334 ",,"$27,703 ","$90,734 ","$35,457 ","$109,518 ",
12,"$41,768 ",,,"$94,481 ",,,,"$30,660 ",,
13,,,,"$74,692 ",,,,,,
14,,,,"$408,459 ",,,,,,
16,,,,"$162,596 ",,,,,,
20,"$559,574 ",,"$258,956 ",,,,"$256,340 ",,,
21,,,"$290,115 ",,,,,,,
22,,,"$99,740 ",,,,,,,
23,"$150,456 ",,"$179,671 ","$35,909 ",,"$61,869 ","$132,866 ","$118,694 ","$94,989 ",
24,,,"$157,782 ",,,,"$110,150 ","$37,374 ",,
25,"$133,036 ",,"$130,122 ","$82,436 ",,"$73,353 ","$86,470 ","$75,307 ","$85,458 ",
26,"$84,567 ",,"$127,840 ","$49,661 ",,"$35,992 ","$92,501 ","$55,710 ",,
27,"$51,172 ",,"$109,241 ","$45,161 ",,"$35,262 ","$56,693 ","$33,434 ",,
28,"$154,615 ",,,,"$42,003 ",,"$101,659 ","$66,702 ",,
29,"$54,211 ",,"$43,868 ","$46,069 ","$51,276 ",,"$98,663 ","$34,817 ","$33,400 ",
30,$0 ,,"$37,494 ",,,,"$93,715 ",,,
31,"$61,972 ",,"$107,175 ",,,"$54,998 ","$59,502 ","$61,167 ","$97,013 ",
32,"$39,219 ",,"$53,406 ","$19,176 ",,,"$47,685 ","$31,350 ",,
33,,,"$41,408 ",,,,,"$24,241 ",,
34,"$27,544 ",,"$52,267 ",,,,,,,
35,"$44,924 ",,"$49,799 ",,,,"$69,086 ","$34,794 ",,"$33,991 "
36,$0 ,,"$52,977 ",,,,"$39,704 ","$25,187 ",,"$32,832 "
37,"$75,163 ",,"$82,489 ",,"$42,939 ",,"$98,023 ","$40,951 ",,"$131,153 "
38,"$48,785 ",,"$47,335 ",,"$48,074 ",,"$73,893 ","$24,818 ",,"$29,759 "
39,"$25,957 ",,"$41,144 ",,"$30,280 ",,"$35,755 ","$18,588 ",,"$27,782 "
40,"$61,709 ",,"$117,402 ","$98,180 ","$79,739 ","$73,529 ","$76,036 ","$23,716 ","$68,934 ","$61,987 "
41,"$42,426 ",,"$79,819 ","$46,778 ","$40,882 ","$35,137 ","$58,533 ","$37,285 ","$28,119 ","$49,416 "
42,"$36,554 ",,"$88,392 ",,"$54,138 ",,"$40,709 ","$27,836 ",,"$41,303 "
45,,,,,,,,"$19,157 ",,
52,,,"$31,735 ",,"$110,079 ","$41,449 ",,"$41,585 ","$43,134 ","$20,843 "
53,"$20,944 ",,,,,,"$15,773 ",,,
54,"$36,815 ",,"$40,183 ","$28,455 ","$31,462 ","$20,253 ","$20,963 ","$24,520 ","$29,174 ","$17,217 "
55,"$14,055 ","$13,477 ","$22,162 ","$18,519 ",,"$19,983 ","$16,674 ","$20,898 ","$14,061 ","$9,440 "
56,"$30,631 ","$11,952 ","$40,192 ","$7,019 ","$37,644 ","$24,190 ","$22,041 ","$31,315 ","$35,510 ","$15,933 "
57,"$30,689 ",,"$41,953 ","$37,895 ","$34,864 ","$18,307 ","$16,175 ","$31,344 ","$23,008 ","$16,334 "
58,"$23,329 ",,"$28,807 ",,"$36,239 ","$20,616 ","$43,654 ","$38,069 ",,"$16,573 "
59,"$22,766 ","$12,174 ","$18,126 ",,"$31,242 ","$11,872 ","$19,072 ","$23,605 ","$18,664 ","$19,968 "
60,"$18,849 ",,"$18,233 ",,"$33,159 ","$18,467 ","$12,496 ","$15,984 ","$24,345 ","$15,365 "
61,"$52,116 ",,"$93,542 ",,"$51,752 ","$62,698 ","$48,792 ","$57,867 ",,
62,"$41,045 ","$50,551 ","$71,170 ",,"$53,444 ","$61,988 ","$46,855 ","$51,434 ","$34,553 ",
63,"$37,966 ",,"$27,821 ",,"$56,558 ","$36,880 ",,,"$34,625 ",
