State_x,Name,State,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,State_y,Latitude,Longitude
1,Alabama,AL,4799277,38.1,43253,23680,870631,18.1408783,5.040967629,Alabama,32.7794,-86.8287
2,Alaska,AK,720316,33.6,70760,32651,69514,9.650486731,4.572854136,Alaska,64.0685,-152.2782
4,Arizona,AZ,6479703,36.3,49774,25358,1131901,17.46840866,4.882322539,Arizona,34.2744,-111.6602
5,Arkansas,AR,2933369,37.5,40768,22170,547328,18.65868222,4.132961111,Arkansas,34.8938,-92.4426
6,California,CA,37659181,35.4,61094,29527,5885417,15.62810673,5.758662144,California,37.1841,-119.4696
8,Colorado,CO,5119329,36.1,58433,31109,660874,12.90938715,4.526784663,Colorado,38.9972,-105.5478
9,Connecticut,CT,3583561,40.2,69461,37892,354348,9.888153153,5.32177351,Connecticut,41.6219,-72.7273
10,Delaware,DE,908446,38.9,59878,29819,103633,11.40772264,4.53598783,Delaware,38.9896,-75.505
11,District of Columbia,DC,619371,33.8,65830,45290,109200,17.63078995,6.29574197,District of Columbia,38.9101,-77.0147
12,Florida,FL,19091156,41,46956,26236,3052807,15.990687,5.741024797,Florida,28.6305,-82.4497
13,Georgia,GA,9810417,35.6,49179,25182,1736680,17.70240755,5.553301149,Georgia,32.6415,-83.4426
15,Hawaii,HI,1376298,38.3,67402,29305,149531,10.86472552,3.541965476,Hawaii,20.2927,-156.3737
16,Idaho,ID,1583364,34.9,46767,22568,240298,15.17642185,4.243433601,Idaho,44.3509,-114.613
17,Illinois,IL,12848554,36.8,56797,29666,1772333,13.79402694,5.452878199,Illinois,40.0417,-89.1965
18,Indiana,IN,6514861,37.1,48248,24635,969881,14.88720941,4.842405694,Indiana,39.8942,-86.2816
19,Iowa,IA,3062553,38.1,51843,27027,367414,11.99698422,3.099146366,Iowa,42.0751,-93.496
20,Kansas,KS,2868107,36,51332,26929,382820,13.34747971,3.637974455,Kansas,38.4937,-98.3804
21,Kentucky,KY,4361333,38.2,43036,23462,796202,18.2559323,4.631313408,Kentucky,37.5347,-85.3021
22,Louisiana,LA,4567968,36,44874,24442,846780,18.53734527,4.20681581,Louisiana,31.0689,-91.9968
23,Maine,ME,1328320,43.2,48453,26824,175624,13.22151289,4.055197543,Maine,45.3695,-69.2428
24,Maryland,MD,5834299,38,73538,36354,558329,9.569770079,4.466123522,Maryland,39.055,-76.7909
25,Massachusetts,MA,6605058,39.2,66866,35763,725351,10.98175065,4.886103952,Massachusetts,42.2596,-71.8083
26,Michigan,MI,9886095,39.1,48411,25681,1625982,16.44716139,6.235717945,Michigan,44.3467,-85.4102
27,Minnesota,MN,5347740,37.6,59836,30913,598391,11.18960533,3.942132564,Minnesota,46.2807,-94.3053
28,Mississippi,MS,2976872,36.2,39031,20618,653321,21.94656001,5.010225498,Mississippi,32.7364,-89.6678
29,Missouri,MO,6007182,38,47380,25649,900929,14.99753129,4.455400219,Missouri,38.3566,-92.458
30,Montana,MT,998554,39.9,46230,25373,148528,14.87430825,3.775659604,Montana,47.0527,-109.6333
31,Nebraska,NE,1841625,36.3,51672,26899,228789,12.42321319,3.123600081,Nebraska,41.5378,-99.7951
32,Nevada,NV,2730066,36.6,52800,26589,403314,14.77304944,6.41530278,Nevada,39.3289,-116.6312
33,New Hampshire,NH,1319171,41.5,64916,33134,110859,8.403686861,3.916853842,New Hampshire,43.6805,-71.5811
34,New Jersey,NJ,8832406,39.1,71629,36027,900583,10.19634967,5.345021504,New Jersey,40.1907,-74.6728
35,New Mexico,NM,2069706,36.7,44927,23763,413801,19.99322609,4.547070937,New Mexico,34.4071,-106.1126
36,New York,NY,19487053,38.1,58003,32382,2903982,14.90210962,4.729329776,New York,42.9538,-75.5268
37,North Carolina,NC,9651380,37.6,46334,25284,1643389,17.0275028,5.464814358,North Carolina,35.5557,-79.3877
38,North Dakota,ND,689781,36.4,53741,29732,79433,11.51568396,1.829131275,North Dakota,47.4501,-100.4659
39,Ohio,OH,11549590,39,48308,26046,1773853,15.35857983,5.047391293,Ohio,40.2862,-82.7937
40,Oklahoma,OK,3785742,36.2,45339,24208,618683,16.34245017,3.376933769,Oklahoma,35.5889,-97.4943
41,Oregon,OR,3868721,38.7,50229,26809,614778,15.89098826,5.717419271,Oregon,43.9336,-120.5583
42,Pennsylvania,PA,12731381,40.3,52548,28502,1638820,12.87228777,4.567713432,Pennsylvania,40.8781,-77.7996
44,Rhode Island,RI,1051695,39.6,56361,30469,137244,13.04979105,5.336623261,Rhode Island,41.6762,-71.5562
45,South Carolina,SC,4679602,38.1,44779,23943,820308,17.52943947,5.522777364,South Carolina,33.9169,-80.8964
46,South Dakota,SD,825198,36.9,49495,25740,112086,13.58292192,2.69632258,South Dakota,44.4443,-100.2263
47,Tennessee,TN,6402387,38.2,44298,24409,1101732,17.2081444,4.94631143,Tennessee,35.858,-86.3505
48,Texas,TX,25639373,33.8,51900,26019,4416829,17.22674342,3.978771244,Texas,31.4757,-99.3312
49,Utah,UT,2813673,29.6,58821,23873,350205,12.4465423,3.605571792,Utah,39.3055,-111.6703
50,Vermont,VT,625904,42,54267,29167,70873,11.32330198,3.761918761,Vermont,44.0687,-72.6658
51,Virginia,VA,8100653,37.5,63907,33493,887595,10.95707963,3.742031661,Virginia,37.5215,-78.8537
53,Washington,WA,6819579,37.3,59478,30742,893211,13.09774401,4.797290273,Washington,47.3826,-120.4472
54,West Virginia,WV,1853619,41.5,41043,22966,321546,17.34693052,3.741383747,West Virginia,38.6409,-80.6227
55,Wisconsin,WI,5706871,38.7,52413,27523,723730,12.6817305,4.196064709,Wisconsin,44.6243,-89.9941
56,Wyoming,WY,570134,36.8,57406,28902,63743,11.18035409,2.939659799,Wyoming,42.9957,-107.5512
72,Puerto Rico,PR,3682966,37.5,19624,11068,1644128,44.6414113,6.728924459,Puerto Rico,18.2001,-66.6645
