BEST COMPLICATION/MORTALITY RATES (LOWEST PRICED)                                                                                        CATEGORY: HEART ATTACK,,,BEST COMPLICATION/MORTALITY RATES (HIGHEST PRICE)                                                            CATEGORY: HEART ATTACK,,,WORST COMPLICATIONS AND MORTALITY RATES (HIGHEST PRICE)                                                            CATEGORY: HEART ATTACK,
,,,,,,,
,,,,,,,
Value of care display name,Value of Care Heart Attack measure,,Value of care display name,Value of Care Heart Attack measure,,Value of care display name,Value of Care Heart Attack measure
Value of care category,(Multiple Items),,Value of care category,(Multiple Items),,Value of care category,(Multiple Items)
,,,,,,,
Row Labels,Sum of Payment,,Row Labels,Average of Payment,,Row Labels,Sum of Payment
NC,22184,,CA,30724,,CA,26941
MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,22184,,CEDARS-SINAI MEDICAL CENTER,30724,,MERCY MEDICAL CENTER REDDING,26941
MI,22242,,IL,28506,,LA,27023
MUNSON MEDICAL CENTER,22242,,PRESENCE RESURRECTION MEDICAL CENTER,28506,,LAFAYETTE GENERAL MEDICAL CENTER,27023
VA,22459,,FL,26632,,Grand Total,53964
"CENTRA  HEALTH, INC",22459,,BAPTIST MEDICAL CENTER JACKSONVILLE,26632,,,
IL,22564,,NJ,26411.5,,,
NORTHWESTERN MEMORIAL HOSPITAL,22564,,HACKENSACK UNIVERSITY MEDICAL CENTER,26059,,,
IN,23052,,MORRISTOWN MEDICAL CENTER,26764,,,
ST VINCENT HEART CENTER OF INDIANA LLC,23052,,Grand Total,27737,,,
WI,23169,,,,,,
UNITYPOINT HEALTH - MERITER,23169,,,,,,
Grand Total,135670,,,,,,
